FID,SUBNAME,SUBSTATION,MIN_KV,MAX_KV,NUMBANKS,REDACTED,OBJECTID,UNGROUNDED
461,BALCH NO 1,25250,12.000000000000000,115.000000000000000,1.000000000000000,Yes,65103,None
462,DUNLAP,25406,12.000000000000000,70.000000000000000,1.000000000000000,Yes,65104,None
463,KERCKHOFF,25256,12.000000000000000,6.600000000000000,1.000000000000000,No,65105,None
464,MARICOPA,25421,12.000000000000000,70.000000000000000,1.000000000000000,Yes,65106,None
465,CASSIDY,25427,21.000000000000000,70.000000000000000,2.000000000000000,No,65107,None
466,BOWLES,25353,12.000000000000000,70.000000000000000,1.000000000000000,No,65108,None
467,KERN POWER,25526,21.000000000000000,115.000000000000000,2.000000000000000,Yes,65109,None
468,ALPINE,16356,12.000000000000000,17.000000000000000,1.000000000000000,Yes,65110,None
469,ANGIOLA,25215,12.000000000000000,70.000000000000000,1.000000000000000,Yes,65111,None
470,CAL WATER,25545,12.000000000000000,115.000000000000000,1.000000000000000,Yes,65112,None
471,WELLFIELD,25429,12.000000000000000,70.000000000000000,2.000000000000000,Yes,65113,1
472,LODI,16211,4.800000000000000,60.000000000000000,2.000000000000000,No,65114,None
473,CRANE VALLEY,25853,12.000000000000000,11.000000000000000,1.000000000000000,No,65219,None
474,SONOMA,4272,12.000000000000000,115.000000000000000,2.000000000000000,No,161598,None
475,MENDOCINO,4295,12.000000000000000,60.000000000000000,1.000000000000000,No,161595,None
476,LAKEVILLE,4337,12.000000000000000,230.000000000000000,2.000000000000000,Yes,161599,None
477,MCAVOY TAP,1809,4.000000000000000,21.000000000000000,1.000000000000000,Yes,161596,None
478,BEACH Q,2234,4.000000000000000,12.000000000000000,1.000000000000000,No,161845,None
479,CLOVERDALE,4282,12.000000000000000,115.000000000000000,1.000000000000000,Yes,161600,None
480,BIG TREES,8305,4.000000000000000,21.000000000000000,1.000000000000000,No,450232,None
481,ORINDA,1235,4.000000000000000,12.000000000000000,1.000000000000000,No,450233,None
482,BABEL,1385,4.000000000000000,21.000000000000000,1.000000000000000,No,161601,None
483,LAKEWOOD,1353,12.000000000000000,115.000000000000000,5.000000000000000,Yes,161602,None
484,MIRABEL,4209,12.000000000000000,60.000000000000000,1.000000000000000,Yes,161603,1
485,DUNBAR,4307,12.000000000000000,60.000000000000000,2.000000000000000,Yes,161604,"1,2"
486,GEYSERVILLE,4289,12.000000000000000,60.000000000000000,2.000000000000000,Yes,161605,2
487,GILL,1355,4.000000000000000,21.000000000000000,2.000000000000000,Yes,161607,None
488,SARANAP,1356,4.000000000000000,21.000000000000000,1.000000000000000,No,161608,None
489,MONTICELLO,4305,12.000000000000000,115.000000000000000,1.000000000000000,No,161609,"1,2"
490,PINECREST,16316,4.000000000000000,17.000000000000000,1.000000000000000,No,65220,None
491,MONARCH,16230,4.000000000000000,60.000000000000000,1.000000000000000,Yes,65221,2
492,VALLEY SPRINGS,16230,12.000000000000000,60.000000000000000,1.000000000000000,Yes,65221,2
493,GOOSE LAKE,25420,12.000000000000000,115.000000000000000,2.000000000000000,Yes,65011,None
494,LAKEVIEW,25341,12.000000000000000,70.000000000000000,2.000000000000000,Yes,65012,None
495,TWISSELMAN,25440,12.000000000000000,70.000000000000000,2.000000000000000,Yes,65013,None
496,LERDO,25349,12.000000000000000,115.000000000000000,2.000000000000000,Yes,65014,None
497,MALAGA,25425,12.000000000000000,115.000000000000000,3.000000000000000,Yes,65015,None
498,WASCO,25296,12.000000000000000,70.000000000000000,1.000000000000000,Yes,65016,None
499,WOODCHUCK,25491,21.000000000000000,70.000000000000000,1.000000000000000,Yes,65017,None
500,CLARKSVILLE,15361,21.000000000000000,115.000000000000000,3.000000000000000,No,161527,None
501,SAUSALITO,4249,4.000000000000000,60.000000000000000,2.000000000000000,Yes,161528,1
502,NOVATO,4221,12.000000000000000,60.000000000000000,2.000000000000000,Yes,161530,"1,2"
503,BURNEY,10331,12.000000000000000,60.000000000000000,2.000000000000000,No,161531,2
504,BOLINAS,4226,12.000000000000000,60.000000000000000,1.000000000000000,No,161532,None
505,WOODACRE,4302,12.000000000000000,60.000000000000000,1.000000000000000,Yes,161533,None
506,LAS GALLINAS A,4299,12.000000000000000,115.000000000000000,3.000000000000000,Yes,161534,None
507,BAHIA,4325,12.000000000000000,230.000000000000000,2.000000000000000,Yes,161539,None
508,STAFFORD,4320,12.000000000000000,60.000000000000000,2.000000000000000,No,161536,None
509,OAKLAND J,1209,4.000000000000000,115.000000000000000,5.000000000000000,Yes,161817,None
510,ACTON,2247,4.000000000000000,12.000000000000000,2.000000000000000,No,161814,None
511,HUNTERS POINT P,2233,12.000000000000000,115.000000000000000,2.000000000000000,Yes,161815,None
512,BAYSHORE,2289,34.500000000000000,115.000000000000000,2.000000000000000,Yes,161816,None
513,CASTRO,2248,4.000000000000000,12.000000000000000,2.000000000000000,No,161818,None
514,RANDOLPH,2259,4.000000000000000,12.000000000000000,3.000000000000000,No,161819,None
515,21ST AVENUE,2255,4.160000000000000,12.000000000000000,3.000000000000000,No,161820,None
516,18TH STREET,2239,4.160000000000000,12.000000000000000,1.000000000000000,No,161821,None
517,PORTOLA,2261,4.000000000000000,12.000000000000000,2.000000000000000,Yes,161822,None
518,YOSEMITE,2249,4.000000000000000,12.000000000000000,3.000000000000000,No,161823,None
519,OAKLAND K,1210,12.000000000000000,115.000000000000000,1.000000000000000,Yes,161824,None
520,POINT PINOLE,1426,12.000000000000000,115.000000000000000,1.000000000000000,No,161825,None
521,OAKLAND X,1254,4.000000000000000,115.000000000000000,5.000000000000000,Yes,161826,None
522,BARRETT,1302,4.000000000000000,12.000000000000000,2.000000000000000,No,161828,None
523,BECK STREET,1264,4.000000000000000,12.000000000000000,1.000000000000000,No,161829,None
524,FRANKLIN,1392,12.000000000000000,60.000000000000000,2.000000000000000,Yes,161830,None
525,HOLLYWOOD,1317,4.160000000000000,12.000000000000000,1.000000000000000,No,161831,None
526,SF G,2209,4.160000000000000,12.000000000000000,3.000000000000000,Yes,161833,None
527,SILVER,2267,4.000000000000000,12.000000000000000,1.000000000000000,No,161834,None
528,SF N,2228,0.000000000000000,12.000000000000000,5.000000000000000,Yes,161835,None
