X,Y,SUBST_ID,SUB_NAME,SYS_NAME,SUB_TYPE,SUBSTATION_VOLTAGE,EXISTING_GEN,QUEUED_GEN,TOTAL_GEN,PROJECTED_LOAD,PENETRATION_LEVEL,MAX_REMAIN_CAP,NOTE,OBJECTID
-118.120605643252986,33.842594123818465,893,Lucas,Del Amo 220/66 System,D -- Distribution,66/4.16 kV,6.077,5.04,11.117,15,10.46,13.43,Interconnection studies in this area have identified adequate deliverability.,127
-118.147814049242072,33.911807190242804,894,Imperial,Center 220/66 System,D -- Distribution,66/12 kV,13.271,9.656,22.928,44.8,15.75,41.86,Interconnection studies in this area have identified adequate deliverability.,128
-118.195591904333753,33.881832684703802,897,Longdon,Lighthipe 220/66 System,D -- Distribution,16/4.16 kV,0.65,0.009,0.659,8.6,8.21,7.88,Interconnection studies in this area have identified adequate deliverability.,129
-118.247982048758956,33.879679093764508,898,Jersey,Lighthipe 220/66 System,D -- Distribution,66/16 kV,3.737,0.411,4.148,53.1,6.02,75.2,Interconnection studies in this area have identified adequate deliverability.,130
-118.118104504431614,33.899847869718322,899,Woodruff,Del Amo 220/66 System,D -- Distribution,12/4.16 kV,1.084,0.006,1.09,12.9,8.88,13.86,Interconnection studies in this area have identified adequate deliverability.,131
-118.248301705269654,33.975561978089615,901,Naomi,Laguna Bell De 220/66 System,D -- Distribution,16/4.16 kV,0.194,0,0.194,6,4.3,5.74,Interconnection studies in this area have identified adequate deliverability.,132
-118.268494197024538,33.827366315780232,902,Neptune,Hinson 220/66 System,D -- Distribution,66/12 kV,11.065,0.503,11.568,43.1,5.37,42.49,Interconnection studies in this area have identified adequate deliverability.,133
-118.090629927623866,33.879850004881725,904,Eric,Del Amo 220/66 System,D -- Distribution,66/12 kV,5.446,1.165,6.611,74.4,8.12,68.36,Interconnection studies in this area have identified adequate deliverability.,134
-118.117575747970548,33.866815625482957,905,Hedda,Del Amo 220/66 System,D -- Distribution,12/4.16 kV,0.44,0,0.44,4.5,10.71,6.96,Interconnection studies in this area have identified adequate deliverability.,135
-118.167225971490367,33.853079336290854,906,Sunnyside,Lighthipe 220/66 System,D -- Distribution,66/4.16 kV,6.046,0.169,6.215,14.8,10.89,13.39,Interconnection studies in this area have identified adequate deliverability.,136
-118.213144546607566,33.946621098044211,909,South Gate,Laguna Bell De 220/66 System,D -- Distribution,16/4.16 kV,0.377,0.003,0.379,12,3.41,11.59,Interconnection studies in this area have identified adequate deliverability.,137
-118.063906175306997,33.851033724059235,991,Bovine,Del Amo 220/66 System,D -- Distribution,66/12 kV,3.682,0.09,3.772,54,8.49,49.42,Interconnection studies in this area have identified adequate deliverability.,138
-118.204627875418694,33.773287891578853,910,Seabright,Hinson 220/66 System,D -- Distribution,66/12 kV,0.102,10.732,10.835,26.4,4.51,36.31,Interconnection studies in this area have identified adequate deliverability.,139
-118.047715999739708,33.881511996368125,1019,Greening,Del Amo 220/66 System,D -- Distribution,66/12 kV,4.167,0.8,4.967,43,6.77,41.89,Interconnection studies in this area have identified adequate deliverability.,140
-118.10009400073892,33.771905998613406,912,Stadium,Alamitos 220/66 System,D -- Distribution,66/12 kV,12.479,1.003,13.482,86,8.51,83.08,Interconnection studies in this area have identified adequate deliverability.,141
