CIRCUIT_NA,CIRCUIT_VO,AGR_PCT,COM_PCT,IND_PCT,RES_PCT,OTHER_PCT,GEN_ALLOC,GEN_QUE,TOTAL_GEN,SUBST_DISP,SYS_NAME,NOTE,OBJECTID,Shape__Len
Birchim,12,0,6,0,84,11,0.583,0,0.583,Mt. Tom 55/12 Kv,Inyo Sce 220/115 System,N/A,482,241919.725945767
Christine,12,0,2,0,94,5,1.051,0,1.051,La Veta 66/12 Kv,Villa Park 220/66 System,N/A,483,33652.7084992024
Churchill,12,0,44,0,0,58,2.055,0,2.055,Macarthur 66/12 Kv,Santiago 220/66 System,N/A,484,31563.1950365381
Chrysler,16,0,80,1,0,18,0.326,0,0.326,Laguna Bell 66/16 Kv,Laguna Bell Ab 220/66 System,N/A,485,45564.2318045539
Citrow,12,0,26,0,59,16,0.836,0,0.836,Declez 66/12 Kv,Etiwanda 220/66 System,N/A,486,71436.9050604351
City Ranch,12,0,16,0,72,12,0.104,0,0.104,Anaverde 66/12 Kv,Antelope 220/66 System,N/A,487,56845.5418788772
Clair,12,0,19,0,67,14,0.027,0,0.027,Cypress 66/12 Kv,Del Amo 220/66 System,N/A,488,26361.3569113147
Chaney,12,0,32,1,32,36,8.453,0,8.453,Bunker 115/12 Kv,Valley 'Ab' 500/115 System,N/A,489,112747.094857602
Chantry,16,0,7,0,87,6,0.551,0,0.551,Arcadia 66/16 Kv,Rio Hondo 220/66 System,N/A,490,50858.0151789131
Chargers,12,0,5,0,89,7,1.239,0,1.239,Slater 66/12 Kv,Ellis 'A' 220/66 System,N/A,491,69455.4647283578
Charlton,12,0,3,0,92,6,1.326,0,1.326,Mayberry 115/12 Kv,Valley 'Ab' 500/115 System,N/A,492,46483.4493024761
Clampett,12,0,2,0,94,4,1.887,0,1.887,Porterville 66/12 Kv,Springville 220/66 System,N/A,493,40368.9672573263
Clancy,12,9,14,0,14,62,2.795,0,2.795,Oak Grove 66/12 Kv,Rector 220/66 System,N/A,494,209782.032000075
Clay,12,0,10,0,81,9,0.191,0,0.191,Wave 66/12 Kv,Ellis 'A' 220/66 System,N/A,495,65104.4605842652
Clayton,16,0,10,1,81,9,0.693,0,0.693,Rosemead 66/16 Kv,Mesa 220/66 System,N/A,496,62042.7585883444
Chattanooga,12,0,8,0,87,5,0.847,0,0.847,Tennessee 66/12 Kv,San Bernardino 220/66 System,N/A,497,62094.4720165799
Chemical,16,0,50,0,0,50,0,0,0,Sepulveda 66/16 Kv,El Nido 220/66 System,N/A,498,15429.8603440162
Chelsea,4,0,7,0,86,8,0.136,0,0.136,Colorado 66/4 Kv,La Cienega 220/66 System,N/A,499,15007.8118187087
Cherokee,12,0,3,0,93,5,1.665,0,1.665,Shawnee 66/12 Kv,Barre 220/66 System,N/A,500,76565.1931616687
Chewbacca,12,0,2,0,91,6,1.83,0,1.83,Shuttle 66/12 Kv,Antelope 220/66 System,N/A,501,55688.429076286
Chia,12,0,10,0,84,7,2.746,0,2.746,Tamarisk 115/12 Kv,Mirage 220/115 System,N/A,502,55281.97726974
Clemont,4,0,4,0,91,6,0.052,0,0.052,Naomi 16/4 Kv,Laguna Bell De 220/66 System,N/A,503,15100.8998595501
